servo1 servo2 servo3 distance row column
112 9 90 249 4 50
114 9 90 292 4 51
117 9 90 295 4 52
119 9 90 301 4 53
121 9 90 300 4 54
123 9 90 306 4 55
126 9 90 309 4 56
128 9 90 316 4 57
130 9 90 320 4 58
132 9 90 912 4 59
135 9 90 857 4 60
137 9 90 784 4 61
139 9 90 774 4 62
141 9 90 735 4 63
144 9 90 713 4 64
146 9 90 376 4 65
148 9 90 377 4 66
150 9 90 396 4 67
153 9 90 403 4 68
155 9 90 445 4 69
157 9 90 442 4 70
159 9 90 476 4 71
162 9 90 483 4 72
164 9 90 518 4 73
166 9 90 520 4 74
168 9 90 504 4 75
171 9 90 500 4 76
173 9 90 483 4 77
175 9 90 486 4 78
177 9 90 110 4 79
177 11 90 439 5 79
175 11 90 477 5 78
173 11 90 486 5 77
171 11 90 485 5 76
168 11 90 500 5 75
166 11 90 507 5 74
164 11 90 516 5 73
162 11 90 513 5 72
159 11 90 513 5 71
157 11 90 469 5 70
155 11 90 464 5 69
153 11 90 440 5 68
150 11 90 409 5 67
148 11 90 392 5 66
146 11 90 382 5 65
144 11 90 369 5 64
141 11 90 377 5 63
139 11 90 735 5 62
137 11 90 761 5 61
135 11 90 809 5 60
132 11 90 882 5 59
130 11 90 931 5 58
128 11 90 956 5 57
126 11 90 312 5 56
123 11 90 308 5 55
121 11 90 302 5 54
119 11 90 299 5 53
117 11 90 297 5 52
114 11 90 293 5 51
112 11 90 290 5 50
110 11 90 286 5 49
108 11 90 228 5 48
105 11 90 227 5 47
103 11 90 226 5 46
101 11 90 225 5 45
99 11 90 225 5 44
96 11 90 223 5 43
94 11 90 224 5 42
92 11 90 225 5 41
90 11 90 225 5 40
87 11 90 227 5 39
85 11 90 228 5 38
83 11 90 228 5 37
81 11 90 230 5 36
78 11 90 232 5 35
76 11 90 235 5 34
74 11 90 237 5 33
72 11 90 240 5 32
69 11 90 244 5 31
67 11 90 251 5 30
65 11 90 251 5 29
63 11 90 258 5 28
60 11 90 264 5 27
58 11 90 274 5 26
56 11 90 279 5 25
54 11 90 287 5 24
51 11 90 297 5 23
49 11 90 310 5 22
47 11 90 318 5 21
45 11 90 63 5 20
42 11 90 54 5 19
40 11 90 53 5 18
38 11 90 53 5 17
36 11 90 394 5 16
33 11 90 453 5 15
31 11 90 18 5 14
29 11 90 49 5 13
27 11 90 47 5 12
24 11 90 48 5 11
22 11 90 47 5 10
20 11 90 47 5 9
18 11 90 392 5 8
15 11 90 316 5 7
13 11 90 202 5 6
11 11 90 185 5 5
9 11 90 382 5 4
6 11 90 381 5 3
4 11 90 381 5 2
2 11 90 379 5 1
0 11 90 377 5 0
0 13 90 380 6 0
2 13 90 380 6 1
4 13 90 379 6 2
6 13 90 380 6 3
9 13 90 383 6 4
11 13 90 385 6 5
13 13 90 387 6 6
15 13 90 391 6 7
18 13 90 392 6 8
20 13 90 392 6 9
22 13 90 394 6 10
24 13 90 410 6 11
27 13 90 413 6 12
29 13 90 425 6 13
31 13 90 432 6 14
33 13 90 437 6 15
36 13 90 449 6 16
38 13 90 416 6 17
40 13 90 394 6 18
42 13 90 369 6 19
45 13 90 354 6 20
47 13 90 336 6 21
49 13 90 326 6 22
51 13 90 318 6 23
54 13 90 306 6 24
56 13 90 293 6 25
58 13 90 284 6 26
60 13 90 279 6 27
63 13 90 271 6 28
65 13 90 260 6 29
67 13 90 259 6 30
69 13 90 252 6 31
72 13 90 247 6 32
74 13 90 244 6 33
76 13 90 239 6 34
78 13 90 237 6 35
81 13 90 234 6 36
83 13 90 230 6 37
85 13 90 230 6 38
87 13 90 229 6 39
90 13 90 228 6 40
92 13 90 228 6 41
94 13 90 226 6 42
96 13 90 226 6 43
99 13 90 227 6 44
101 13 90 226 6 45
103 13 90 227 6 46
105 13 90 227 6 47
108 13 90 227 6 48
110 13 90 229 6 49
112 13 90 280 6 50
114 13 90 292 6 51
117 13 90 296 6 52
119 13 90 300 6 53
121 13 90 301 6 54
123 13 90 306 6 55
126 13 90 310 6 56
128 13 90 316 6 57
130 13 90 319 6 58
132 13 90 912 6 59
135 13 90 875 6 60
137 13 90 787 6 61
139 13 90 793 6 62
141 13 90 736 6 63
144 13 90 720 6 64
146 13 90 379 6 65
148 13 90 378 6 66
150 13 90 397 6 67
153 13 90 408 6 68
155 13 90 444 6 69
157 13 90 444 6 70
159 13 90 478 6 71
162 13 90 485 6 72
164 13 90 517 6 73
166 13 90 516 6 74
168 13 90 507 6 75
171 13 90 502 6 76
173 13 90 486 6 77
175 13 90 487 6 78
177 13 90 481 6 79
177 15 90 480 7 79
175 15 90 480 7 78
173 15 90 487 7 77
171 15 90 486 7 76
168 15 90 501 7 75
166 15 90 510 7 74
164 15 90 518 7 73
162 15 90 518 7 72
159 15 90 516 7 71
157 15 90 464 7 70
155 15 90 466 7 69
153 15 90 435 7 68
150 15 90 411 7 67
